config,arm,n_params,ref_params,ratio,role,within_tol
"d=20, k=3",trm_ds,9922,9922,1.0000,matched,True
"d=20, k=3",trm_nods,9922,9922,1.0000,reference,True
"d=20, k=3",ff_matched,9858,9922,0.9935,matched,True
"d=20, k=3",untied_matched,9781,9922,0.9858,matched,True
"d=20, k=3",untied_stack,39496,9922,3.9806,ceiling,True
"d=20, k=4",trm_ds,9922,9922,1.0000,matched,True
"d=20, k=4",trm_nods,9922,9922,1.0000,reference,True
"d=20, k=4",ff_matched,9858,9922,0.9935,matched,True
"d=20, k=4",untied_matched,9781,9922,0.9858,matched,True
"d=20, k=4",untied_stack,39496,9922,3.9806,ceiling,True
"d=20, k=5",trm_ds,9922,9922,1.0000,matched,True
"d=20, k=5",trm_nods,9922,9922,1.0000,reference,True
"d=20, k=5",ff_matched,9858,9922,0.9935,matched,True
"d=20, k=5",untied_matched,9781,9922,0.9858,matched,True
"d=20, k=5",untied_stack,39496,9922,3.9806,ceiling,True
"d=40, k=3",trm_ds,11202,11202,1.0000,matched,True
"d=40, k=3",trm_nods,11202,11202,1.0000,reference,True
"d=40, k=3",ff_matched,11182,11202,0.9982,matched,True
"d=40, k=3",untied_matched,11460,11202,1.0230,matched,False
"d=40, k=3",untied_stack,44616,11202,3.9829,ceiling,True
"d=40, k=4",trm_ds,11202,11202,1.0000,matched,True
"d=40, k=4",trm_nods,11202,11202,1.0000,reference,True
"d=40, k=4",ff_matched,11182,11202,0.9982,matched,True
"d=40, k=4",untied_matched,11460,11202,1.0230,matched,False
"d=40, k=4",untied_stack,44616,11202,3.9829,ceiling,True
"d=40, k=5",trm_ds,11202,11202,1.0000,matched,True
"d=40, k=5",trm_nods,11202,11202,1.0000,reference,True
"d=40, k=5",ff_matched,11182,11202,0.9982,matched,True
"d=40, k=5",untied_matched,11460,11202,1.0230,matched,False
"d=40, k=5",untied_stack,44616,11202,3.9829,ceiling,True
"d=80, k=3",trm_ds,13762,13762,1.0000,matched,True
"d=80, k=3",trm_nods,13762,13762,1.0000,reference,True
"d=80, k=3",ff_matched,13863,13762,1.0073,matched,True
"d=80, k=3",untied_matched,13633,13762,0.9906,matched,True
"d=80, k=3",untied_stack,54856,13762,3.9860,ceiling,True
"d=80, k=4",trm_ds,13762,13762,1.0000,matched,True
"d=80, k=4",trm_nods,13762,13762,1.0000,reference,True
"d=80, k=4",ff_matched,13863,13762,1.0073,matched,True
"d=80, k=4",untied_matched,13633,13762,0.9906,matched,True
"d=80, k=4",untied_stack,54856,13762,3.9860,ceiling,True
"d=80, k=5",trm_ds,13762,13762,1.0000,matched,True
"d=80, k=5",trm_nods,13762,13762,1.0000,reference,True
"d=80, k=5",ff_matched,13863,13762,1.0073,matched,True
"d=80, k=5",untied_matched,13633,13762,0.9906,matched,True
"d=80, k=5",untied_stack,54856,13762,3.9860,ceiling,True
